step,timestamp,action,price,shares,symbol,reward,transaction_cost,slippage,time_penalty,status
621,2023-07-03 08:39:44.651325121,SELL,193.75,9.74177111759345e-14,AAPL,-0.643454756710026,0.46885875671003513,0.009999999999990905,0.164596,filled
622,2023-07-03 08:39:44.663825099,SELL,193.74,1.3183683111735783e-13,AAPL,-0.9784561881953561,0.8120871881953561,0.0,0.166369,filled
623,2023-07-03 08:39:44.663825099,SELL,193.74,1.5645751258654784e-13,AAPL,-0.33463515721185677,0.14826615721184652,0.020000000000010232,0.166369,filled
624,2023-07-03 08:39:44.663825099,SELL,193.74,1.8548651252343279e-13,AAPL,-0.33463515721185677,0.14826615721184652,0.020000000000010232,0.166369,filled
625,2023-07-03 08:39:44.675002109,SELL,193.73,1.3268545793945412e-13,AAPL,-0.356178215646139,0.1815882156461481,0.009999999999990905,0.16459,filled
626,2023-07-03 08:39:44.675533651,SELL,193.73,1.531345325828666e-13,AAPL,-0.643213756710026,0.46885875671003513,0.009999999999990905,0.164355,filled
627,2023-07-03 08:39:48.413268024,SELL,193.73,2.1498264332906351e-13,AAPL,-1.1989029814201395,1.0240029814201486,0.009999999999990905,0.1649,filled
628,2023-07-03 08:39:59.122781697,SELL,193.79,6.201549975092258e-14,AAPL,-0.31625271881952877,0.0812087188195356,0.06999999999999318,0.165044,filled
629,2023-07-03 08:40:18.503900490,SELL,193.79,1.0881212708065413e-13,AAPL,-0.3588013670269621,0.12404836702696892,0.06999999999999318,0.164753,filled
630,2023-07-03 08:40:24.623735389,SELL,193.8,2.0903989849929432e-13,AAPL,-0.2618348756710149,0.04688587567100352,0.05000000000001137,0.164949,filled
631,2023-07-03 08:40:29.029470259,SELL,193.75,2.4952356019853516e-13,AAPL,-0.4990401254140301,0.33483212541403007,0.0,0.164208,filled
632,2023-07-03 08:40:55.524760782,SELL,193.79,1.6668401514223573e-13,AAPL,-0.5332011296970166,0.3282011296970246,0.03999999999999204,0.165,filled
633,2023-07-03 08:40:57.882708588,SELL,193.8,1.7166880398334231e-13,AAPL,-0.2612348756710149,0.04688587567100352,0.05000000000001137,0.164349,filled
634,2023-07-03 08:41:25.524065449,SELL,193.8,7.864218585755918e-14,AAPL,-0.2805206412576833,0.0663066412576719,0.05000000000001137,0.164214,filled
635,2023-07-03 08:41:41.405836920,SELL,193.75,1.5381542543885176e-13,AAPL,-0.2691620051849674,0.10484000518496742,0.0,0.164322,filled
636,2023-07-03 08:41:45.366310956,SELL,193.75,1.7308901828699455e-13,AAPL,-0.3968559430750609,0.22969294307506088,0.0,0.167163,filled
637,2023-07-03 08:41:45.366310956,SELL,193.75,1.0925912924106316e-13,AAPL,-0.2334696412576719,0.0663066412576719,0.0,0.167163,filled
638,2023-07-03 08:41:45.366310956,SELL,193.75,1.1542583429749118e-13,AAPL,-0.21404887567100353,0.04688587567100352,0.0,0.167163,filled
639,2023-07-03 08:41:45.366310956,SELL,193.73,1.3974697538230757e-13,AAPL,-0.8168327505562849,0.6496697505562848,0.0,0.167163,filled
640,2023-07-03 08:42:17.660454371,SELL,193.76,6.03083513672237e-14,AAPL,-0.3662252156461299,0.1815882156461481,0.01999999999998181,0.164637,filled
